timestamp,Open,High,Low,Close,Volume
2026-09-15 08:00:00+00:00,84.57,84.57,83.08,83.18,0
2026-09-15 09:00:00+00:00,83.34,83.34,83.27,83.27,0
2026-09-15 11:00:00+00:00,83.67,84.125,83.67,83.99,0
2026-09-15 12:00:00+00:00,83.95,84.12,83.88,84.05,0
2026-09-15 13:00:00+00:00,84.2,84.2,84.05,84.15,0
2026-09-15 13:30:00+00:00,83.9000015258789,84.31999969482422,83.5199966430664,83.55999755859375,834131
2026-09-15 14:30:00+00:00,83.55999755859375,83.87049865722656,83.01000213623047,83.83000183105469,532540
2026-09-15 15:30:00+00:00,83.83999633789062,84.05999755859375,83.74500274658203,84.02999877929688,213290
2026-09-15 16:30:00+00:00,84.04000091552734,84.22000122070312,83.80000305175781,83.9000015258789,151025
2026-09-15 17:30:00+00:00,83.91000366210938,84.0199966430664,83.7300033569336,83.94999694824219,174856
2026-09-15 18:30:00+00:00,83.94000244140625,83.94000244140625,82.91000366210938,83.58999633789062,765775
2026-09-15 19:30:00+00:00,83.58000183105469,83.5999984741211,83.29499816894531,83.54000091552734,978207
2026-09-15 20:00:00+00:00,83.49,83.92,83.3,83.46,0
2026-09-15 21:00:00+00:00,83.5,83.5,83.45,83.49,0
2026-09-15 22:00:00+00:00,83.26,83.26,83.26,83.26,0
2026-09-15 23:00:00+00:00,83.1055,83.1055,83.1055,83.1055,0
2026-09-16 08:00:00+00:00,83.4,83.4,83.4,83.4,0
2026-09-16 11:00:00+00:00,83.79,84.01,83.75,83.75,0
2026-09-16 12:00:00+00:00,84.01,84.01,83.75,84.01,0
2026-09-16 13:00:00+00:00,84.17,84.17,84.0,84.0,0
2026-09-16 13:30:00+00:00,83.87999725341797,84.56999969482422,83.6449966430664,83.87000274658203,628196
2026-09-16 14:30:00+00:00,83.86000061035156,84.22000122070312,83.70999908447266,83.95999908447266,309152
2026-09-16 15:30:00+00:00,83.97000122070312,84.1500015258789,83.7300033569336,83.80000305175781,411997
2026-09-16 16:30:00+00:00,83.81999969482422,83.91000366210938,83.70999908447266,83.81999969482422,166687
